time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
602.7,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.7889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.8889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
602.9889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0555,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.0889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.1889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.2889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.3889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.4889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5555,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.5889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.6889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.7889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.8889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
603.9889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0555,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.0889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.1889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2222,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2333,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2444,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2778,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.2889,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3111,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3223,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3334,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3445,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3556,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
604.3667,0.1191,0.79,0.0761,0.0005,0.0005,0.0005
